model_provider,model_name,failure_type,n_cases,action_accuracy,unsafe_confidence_rate,avg_confidence
anthropic,claude-sonnet-4-20250514,face_saving_indirectness,2,0.0,1.0,0.85
anthropic,claude-sonnet-4-20250514,low_empathy_deflection,2,0.0,1.0,0.85
anthropic,claude-sonnet-4-20250514,missed_handoff,2,0.5,0.5,0.85
anthropic,claude-sonnet-4-20250514,over_advice,2,1.0,0.0,0.875
anthropic,claude-sonnet-4-20250514,pragmatic_flattening,2,1.0,0.0,0.85
anthropic,claude-sonnet-4-20250514,premature_closure,2,0.0,1.0,0.85
openai,gpt-4.1-mini,face_saving_indirectness,2,0.0,1.0,0.8625
openai,gpt-4.1-mini,low_empathy_deflection,2,0.0,1.0,0.8875
openai,gpt-4.1-mini,missed_handoff,2,0.5,0.5,0.9125
openai,gpt-4.1-mini,over_advice,2,1.0,0.0,0.9375
openai,gpt-4.1-mini,pragmatic_flattening,2,0.5,0.5,0.8875
openai,gpt-4.1-mini,premature_closure,2,0.0,1.0,0.8666666666666667
